alpha,noise_gap,sigma_bad,regime,metric,mean_impr,ci_lo,ci_hi,p_value,sig,C_vs_E,rep_sep,n_seeds
1.3,0.5,1.1,uncorrelated,Brier,0.005909591794686887,-0.0029614773338732616,0.015005762341284036,0.25050927373224313,n.s.,-0.2941924254607517,1.0404478185723776,10
1.3,0.5,1.1,uncorrelated,LogLoss,0.010308991290195307,0.0019601116014854774,0.01935529168706539,0.05531842733823443,n.s.,-0.31020080890574003,1.0404478185723776,10
1.3,0.5,1.1,anti_correlated,Brier,0.006799581174419203,-0.0001694268132198287,0.013700597162230745,0.1033700853946988,n.s.,-0.4356042840510085,1.0404478185723776,10
1.3,0.5,1.1,anti_correlated,LogLoss,0.010372402455042559,0.005513373301345712,0.01563017779292785,0.0043774262011246285,**,-0.32869192117498647,1.0404478185723776,10
1.3,1.0,1.6,uncorrelated,Brier,0.1000104447299724,0.07348139237300737,0.13110407259299467,0.0001286484662172089,***,-0.8753354126192345,1.0949924601672114,10
1.3,1.0,1.6,uncorrelated,LogLoss,0.10877359711978865,0.08217567380389627,0.13975722346542904,6.76163198306358e-05,***,-0.6709594279851603,1.0949924601672114,10
1.3,1.0,1.6,anti_correlated,Brier,0.10968076375633688,0.09407392826418948,0.12558277256722178,4.126768003571916e-07,***,-0.9405493201018423,1.0949924601672114,10
1.3,1.0,1.6,anti_correlated,LogLoss,0.11552507750023051,0.09872193608235659,0.13375522818994648,6.775103507028192e-07,***,-0.5842819768478976,1.0949924601672114,10
1.3,1.5,2.1,uncorrelated,Brier,0.3724846170661352,0.3101627634420388,0.44939830210499665,4.414048956769278e-06,***,-1.6363441893032793,1.151782490854784,10
1.3,1.5,2.1,uncorrelated,LogLoss,0.34625993222681756,0.2867410299398294,0.41742906583142,4.631671413975124e-06,***,-1.0346502298355749,1.151782490854784,10
1.3,1.5,2.1,anti_correlated,Brier,0.3982774626217112,0.35199920735715995,0.4461353718884358,7.831355355874104e-08,***,-1.5313340495025383,1.151782490854784,10
1.3,1.5,2.1,anti_correlated,LogLoss,0.36591584869314164,0.31612182723962035,0.4161816615483196,2.745180959433333e-07,***,-0.8053450810220092,1.151782490854784,10
1.7,0.5,1.1,uncorrelated,Brier,0.011686987160664037,0.002924083642613876,0.019261500926296637,0.025391164447009895,*,-0.40467900890659525,1.046701979040602,10
1.7,0.5,1.1,uncorrelated,LogLoss,0.014527180037769394,0.005702739247427247,0.02217778863302012,0.009157390293376326,**,-0.39079446332695966,1.046701979040602,10
1.7,0.5,1.1,anti_correlated,Brier,0.01326065816110603,0.008827338011138152,0.017018914318455303,0.00018384058526769783,***,-0.44818069317282505,1.046701979040602,10
1.7,0.5,1.1,anti_correlated,LogLoss,0.015308860918467365,0.010655119059417363,0.01933429223034555,0.00010060334457341614,***,-0.35872385205308965,1.046701979040602,10
1.7,1.0,1.6,uncorrelated,Brier,0.13480801148079552,0.10601704988673794,0.1645484489410079,1.33845977787517e-05,***,-1.0422804865293982,1.106764781249319,10
1.7,1.0,1.6,uncorrelated,LogLoss,0.1316942447250772,0.10403698135946486,0.16150690027072803,1.4246679581193081e-05,***,-0.7793891943864847,1.106764781249319,10
1.7,1.0,1.6,anti_correlated,Brier,0.14593613229699048,0.12700327505448256,0.16510593887620661,1.8130956533918885e-07,***,-0.984785149434378,1.106764781249319,10
1.7,1.0,1.6,anti_correlated,LogLoss,0.13890584355233376,0.12016360648566143,0.15732836715214982,2.420905805424779e-07,***,-0.627520569975311,1.106764781249319,10
1.7,1.5,2.1,uncorrelated,Brier,0.44916634155122115,0.38179559672779434,0.5262064276901528,1.2333776775285445e-06,***,-1.8230039008557442,1.1665480507425736,10
1.7,1.5,2.1,uncorrelated,LogLoss,0.3908035851523316,0.32939991320661954,0.46050532702095115,1.7369888268263096e-06,***,-1.1543363880291024,1.1665480507425736,10
1.7,1.5,2.1,anti_correlated,Brier,0.4800031935095035,0.4221012444304778,0.5394380487614882,1.028672324098846e-07,***,-1.5865246235490553,1.1665480507425736,10
1.7,1.5,2.1,anti_correlated,LogLoss,0.4121639955393562,0.35942227778388736,0.46406441099206847,1.4800500212932175e-07,***,-0.8591135621727686,1.1665480507425736,10
2.5,0.5,1.1,uncorrelated,Brier,0.020817658826246803,0.014548231431543674,0.026798542270533677,0.00014212007737715224,***,-0.5158725520476204,1.0533832318849383,10
2.5,0.5,1.1,uncorrelated,LogLoss,0.021945879672283144,0.014902702804015825,0.028957534311549914,0.00023773482279703696,***,-0.4765826489411504,1.0533832318849383,10
2.5,0.5,1.1,anti_correlated,Brier,0.022075133015663034,0.01581251546499287,0.02845116495336635,0.00010891065045120996,***,-0.4795133176197998,1.0533832318849383,10
2.5,0.5,1.1,anti_correlated,LogLoss,0.022638757423697465,0.016893420532556328,0.028931695795009944,6.356474481858999e-05,***,-0.38430939253627916,1.0533832318849383,10
2.5,1.0,1.6,uncorrelated,Brier,0.1675835839800809,0.13998006341868155,0.1987418780547132,2.5420478136081e-06,***,-1.200632546256522,1.1184268859925357,10
2.5,1.0,1.6,uncorrelated,LogLoss,0.15427114683255225,0.12818650338326673,0.18306756500667012,2.763978212345816e-06,***,-0.8847331249219395,1.1184268859925357,10
2.5,1.0,1.6,anti_correlated,Brier,0.17909478981389065,0.1496746982254533,0.20864331234594216,1.3211658714101498e-06,***,-1.0239519328161453,1.1184268859925357,10
2.5,1.0,1.6,anti_correlated,LogLoss,0.16163027990229387,0.13469111304004233,0.18790068188409528,1.3559868859369097e-06,***,-0.65553872725421,1.1184268859925357,10
2.5,1.5,2.1,uncorrelated,Brier,0.5154542259533698,0.4472589044161402,0.5941345228258814,4.648869252559231e-07,***,-1.9962966653453127,1.1803724912743843,10
2.5,1.5,2.1,uncorrelated,LogLoss,0.4295881814445014,0.3711261557036102,0.49605287286444233,5.706442384373686e-07,***,-1.2646466790646782,1.1803724912743843,10
2.5,1.5,2.1,anti_correlated,Brier,0.5499868143508595,0.47349086480673663,0.6251057645666123,2.9727225811898727e-07,***,-1.6149420657248892,1.1803724912743843,10
2.5,1.5,2.1,anti_correlated,LogLoss,0.45315954561442756,0.387882419700849,0.516321380806838,3.743654381936739e-07,***,-0.8854368237852703,1.1803724912743843,10
